nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
      8391, 3.606508156E+00, 2.000000090E-01, 2.340921930E+00, 1.936937061E-01,-1.440538094E-02,-8.337293317E-04, 5.003515931E+01, 2.340921922E+00, 2.000000050E-01
      8392,-1.320464689E+00, 2.000000070E-01, 2.341835243E+00, 1.242707345E+00, 9.485838183E-02, 4.243313465E-03, 5.001822332E+01, 2.315584631E+00, 1.999999985E-01
      8393,-4.654395366E+00, 2.000000022E-01, 2.341918770E+00, 2.286676608E+00, 4.555742233E-03, 3.054500723E-04, 4.999973971E+01, 2.341918763E+00, 2.000000037E-01
      8394, 2.703360406E+00, 1.999999946E-01, 2.342828680E+00,-5.772719796E-03,-2.517870542E-02,-1.348815329E-03, 5.003836926E+01, 2.342828669E+00, 2.000000002E-01
      8395,-2.887590441E+00, 2.000000105E-01, 2.343274660E+00, 2.625920568E+00, 3.586287532E-02, 2.125983200E-03, 4.999364032E+01, 2.343274671E+00, 1.999999971E-01
      8396,-4.849066925E+00, 2.000000085E-01, 2.343716286E+00, 2.274591519E+00, 2.119270393E-03, 1.619232572E-04, 4.999995131E+01, 2.343716281E+00, 1.509332505E-01
      8397,-3.512721481E+00, 2.000000050E-01, 2.344809351E+00, 2.486913511E+00, 2.162454151E-02, 1.364496446E-03, 4.999617671E+01, 2.344809336E+00, 2.000000084E-01
      8398, 4.977089340E+00, 2.000000070E-01, 2.345759273E+00, 4.036417340E-03,-8.708940893E-03,-4.488549964E-04, 5.003812991E+01, 2.347023466E+00, 2.291096819E-02
      8399,-2.137217555E-01, 2.000000065E-01, 2.347207002E+00,-3.941699503E+00, 8.649428714E-02, 3.578247723E-03, 5.010523272E+01, 1.925011248E+00, 2.000000008E-01
      8400,-4.193059288E+00, 2.000000006E-01, 2.347604502E+00, 2.336108443E+00, 1.068897021E-02, 7.728823979E-04, 4.999877735E+01, 2.347868178E+00, 2.000000080E-01
      8401, 4.849647544E+00, 1.999999997E-01, 2.348681038E+00, 3.235547034E-02,-8.801992031E-03,-4.562692819E-04, 5.003767405E+01, 2.348681061E+00, 1.446737198E-01
      8402, 1.127197891E+00, 1.999999995E-01, 2.352207065E+00,-3.364531583E+00,-3.177085047E-02,-5.682795391E-04, 5.009460356E+01, 2.060549721E+00, 2.000000003E-01
      8403, 2.076172787E+00, 2.000000065E-01, 2.352850118E+00,-6.941324126E-01,-3.509461166E-02,-1.431406050E-03, 5.004966867E+01, 2.352850120E+00, 2.000000016E-01
      8404,-3.493092446E+00, 2.000000031E-01, 2.353078928E+00, 2.482230153E+00, 2.196530737E-02, 1.392634074E-03, 4.999615605E+01, 2.353078914E+00, 2.000000082E-01
      8405,-4.232578843E+00, 2.000000006E-01, 2.353370294E+00, 2.327213950E+00, 1.012813293E-02, 7.610518697E-04, 4.999887529E+01, 2.353370278E+00, 2.000000077E-01
      8406, 2.642740469E+00, 1.999999968E-01, 2.353520808E+00,-5.439663082E-02,-2.603054783E-02,-1.393815589E-03, 5.003905050E+01, 2.353520798E+00, 1.999999988E-01
      8407, 5.994463070E-02, 2.000000026E-01, 2.354070260E+00,-4.898188861E+00, 5.865414932E-02, 2.827364903E-03, 5.012191695E+01, 1.907249210E+00, 2.000000030E-01
      8408,-1.979845799E+00, 2.000000038E-01, 2.354102182E+00, 2.394268246E+00, 6.712646134E-02, 3.722790962E-03, 4.999792340E+01, 2.354102174E+00, 2.000000040E-01
      8409,-2.303349023E+00, 2.000000117E-01, 2.354671766E+00, 2.594898685E+00, 5.428511650E-02, 3.171978458E-03, 4.999412540E+01, 2.354671762E+00, 2.000000075E-01
      8410,-3.017398258E+00, 2.000000041E-01, 2.355127946E+00, 2.581693688E+00, 3.245113374E-02, 1.927877034E-03, 4.999427241E+01, 2.355127960E+00, 2.000000062E-01
      8411, 5.840665377E-01, 2.000000004E-01, 2.355812636E+00,-5.076483633E+00, 4.997688945E-03, 9.670770885E-04, 5.012465001E+01, 1.938346579E+00, 2.000000007E-01
      8412,-7.983999827E-01, 1.999999983E-01, 2.356468435E+00,-8.298531219E-01, 1.052905482E-01, 4.048563962E-03, 5.005436224E+01, 2.095358081E+00, 2.000000020E-01
      8413,-1.367564711E+00, 2.000000041E-01, 2.359377178E+00, 1.333005633E+00, 9.227598840E-02, 4.154031951E-03, 5.001628759E+01, 2.345838448E+00, 1.999999958E-01
      8414,-2.612008166E+00, 1.999999990E-01, 2.360545688E+00, 2.609982089E+00, 4.357529856E-02, 2.313621143E-03, 4.999375775E+01, 2.360545687E+00, 2.000000004E-01
