cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,        pressure,      z-velocity,      y-velocity,      x-velocity,cell-wall-distance,boundary-normal-dist
       217, 2.444289327E-01,-6.850760655E-16, 4.639101028E-01,-7.105938110E+02,-5.801619530E+00,-5.579182949E-13, 5.855639267E+01, 1.549655199E-02, 5.158579429E-03
       218, 2.184427828E-01,-7.089673048E-17, 4.580158591E-01,-8.534225464E+02,-3.864361525E+00, 1.376204706E-12, 5.998593140E+01, 6.979402620E-03, 2.322391622E-03
       219, 1.931816339E-01,-9.199804835E-16, 4.536961019E-01,-9.584329834E+02, 1.256062746E+00, 3.230610224E-12, 4.726995087E+01, 1.160064247E-03, 3.872470667E-04
       220, 2.450753748E-01,-9.745063236E-16, 4.694381952E-01,-6.815592651E+02,-5.869382858E+00,-1.151301277E-13, 5.851832581E+01, 2.105844393E-02, 6.406540067E-03
       221, 2.187285125E-01,-3.572591742E-16, 4.618089497E-01,-8.247648315E+02,-4.610552788E+00, 1.039453246E-12, 6.020117188E+01, 1.078067068E-02, 3.586960591E-03
       222, 1.932695210E-01,-9.430737780E-16, 4.562444091E-01,-9.351171265E+02,-3.074347973E+00, 3.562261597E-12, 5.983170319E+01, 3.713284852E-03, 1.240023129E-03
       223, 2.458489686E-01,-1.101071681E-15, 4.761061072E-01,-6.472536621E+02,-5.126319408E+00, 3.268219029E-14, 5.839700699E+01, 2.776490524E-02, 6.812579331E-03
       224, 2.190588266E-01,-7.021025924E-16, 4.663774073E-01,-7.948629761E+02,-3.887968540E+00, 5.122118008E-13, 6.005368805E+01, 1.535749994E-02, 5.109078133E-03
       225, 1.933621019E-01,-9.708478824E-16, 4.593095183E-01,-9.136855469E+02,-1.384658575E+00, 2.917832642E-12, 6.119964600E+01, 6.783772260E-03, 2.265387327E-03
       226, 1.701445580E-01,-1.347458954E-15, 4.539594948E-01,-9.758130493E+02, 3.376771927E+00,-1.919811532E-12, 4.858482361E+01, 1.097811852E-03, 3.692763018E-04
       227, 2.194372267E-01,-9.922844864E-16, 4.718845785E-01,-7.601965942E+02,-4.015427589E+00, 1.514552372E-13, 5.993267441E+01, 2.087272517E-02, 6.363144084E-03
       228, 1.934547424E-01,-1.004275297E-15, 4.629982114E-01,-8.827816162E+02,-2.148393393E+00, 2.089370343E-12, 6.130576706E+01, 1.047802251E-02, 3.498763992E-03
       229, 1.701115966E-01,-1.310498989E-15, 4.563626647E-01,-9.515859375E+02,-1.971687526E-01,-2.135319699E-12, 6.071722412E+01, 3.514186013E-03, 1.182527725E-03
       230, 2.198655605E-01,-1.116398001E-15, 4.785311222E-01,-7.190649414E+02,-3.305434227E+00, 2.088607065E-14, 5.969520569E+01, 2.752573974E-02, 6.783932135E-03
       231, 1.935394853E-01,-1.044550654E-15, 4.674399793E-01,-8.502452393E+02,-1.580180168E+00, 1.083941964E-12, 6.108468246E+01, 1.492522843E-02, 4.983103113E-03
       232, 1.700555384E-01,-1.266051464E-15, 4.592536390E-01,-9.296191406E+02, 1.402817607E+00,-1.745992240E-12, 6.163957596E+01, 6.420777179E-03, 2.160434760E-03
       233, 1.504098028E-01,-4.874792667E-16, 4.532356560E-01,-9.518572998E+02, 5.544585228E+00,-2.385001918E-12, 4.845713806E+01, 1.035404741E-03, 3.507316752E-04
       234, 1.936030835E-01,-1.082987845E-15, 4.727926552E-01,-8.118231812E+02,-1.718723297E+00, 2.753144934E-13, 6.089432907E+01, 2.028256841E-02, 6.238185339E-03
       235, 1.699648798E-01,-1.212571816E-15, 4.627328217E-01,-8.984328613E+02, 5.459151864E-01,-1.288330553E-12, 6.173638535E+01, 9.918270633E-03, 3.336650874E-03
       236, 1.502799690E-01,-5.596501266E-16, 4.554927349E-01,-9.269088745E+02, 2.453606606E+00,-2.462391402E-12, 6.071513367E+01, 3.316046670E-03, 1.123683581E-03
       237, 1.936298013E-01,-1.120998978E-15, 4.792493582E-01,-7.670684204E+02,-1.149138212E+00, 7.285838599E-15, 6.056828308E+01, 2.674173936E-02, 6.676209781E-03
       238, 1.698229015E-01,-1.148186300E-15, 4.669212103E-01,-8.661401978E+02, 1.004887938E+00,-7.188243056E-13, 6.147939301E+01, 1.412797347E-02, 4.751690767E-03
       239, 1.501097828E-01,-6.466258519E-16, 4.582104683E-01,-9.034367676E+02, 4.134945393E+00,-2.096781082E-12, 6.131064606E+01, 6.062583532E-03, 2.054292879E-03
       240, 1.321486533E-01,-4.866475333E-16, 4.517099857E-01,-7.935949707E+02, 7.250747204E+00, 2.096822715E-12, 4.601366425E+01, 9.992612759E-04, 3.380264276E-04
       241, 1.696051061E-01,-1.103146700E-15, 4.719647169E-01,-8.273746948E+02, 7.600882053E-01,-2.137734434E-13, 6.126598740E+01, 1.919620484E-02, 6.014329899E-03
       242, 1.498854309E-01,-7.514999657E-16, 4.614842832E-01,-8.715730591E+02, 3.028823137E+00,-1.531066940E-12, 6.144163895E+01, 9.371256456E-03, 3.174870822E-03
       243, 1.319012046E-01,-5.570006075E-16, 4.538801610E-01,-7.862102051E+02, 4.420381069E+00, 2.465111448E-12, 5.919074631E+01, 3.201440442E-03, 1.083548172E-03
       244, 1.692879051E-01,-1.113628732E-15, 4.780423343E-01,-7.837283325E+02, 1.116175056E+00,-7.029099525E-15, 6.090440750E+01, 2.530165389E-02, 6.487686501E-03
       245, 1.495886445E-01,-8.779011043E-16, 4.654271901E-01,-8.418781738E+02, 3.443770885E+00,-9.095155185E-13, 6.118218231E+01, 1.335608680E-02, 4.523713896E-03
       246, 1.315937936E-01,-6.418191517E-16, 4.564972520E-01,-7.824362183E+02, 6.356129646E+00, 1.998540222E-12, 5.968005753E+01, 5.857366603E-03, 1.982298355E-03
       247, 1.136173755E-01,-4.857629132E-16, 4.497820437E-01,-7.203668823E+02, 7.892448902E+00,-2.140038147E-12, 4.342232895E+01, 9.767414303E-04, 3.266876103E-04
       248, 1.491944641E-01,-1.013964506E-15, 4.701728821E-01,-8.077322998E+02, 3.008704662E+00,-2.585986980E-13, 6.101652527E+01, 1.815272681E-02, 5.769538652E-03
       249, 1.312436163E-01,-7.441662486E-16, 4.596596956E-01,-7.680676270E+02, 4.907540798E+00, 1.543903894E-12, 6.005067444E+01, 9.061626159E-03, 3.066555645E-03
