nodenumber,    x-coordinate,    y-coordinate,  turb-diss-rate,turb-kinetic-energy,      y-velocity,      x-velocity,        pressure,boundary-normal-dist
      1585,-8.776266575E-01, 3.630470857E-02, 1.093603373E-01, 5.004303996E-03,-4.369668484E+00, 4.897614288E+01, 3.073616638E+02, 5.854797084E-03
      1586,-8.602411151E-01, 3.630530462E-02, 1.689492464E-01, 5.377534777E-03,-1.834289789E+00, 4.976903152E+01, 2.705657349E+02, 4.811154213E-03
      1587,-8.437474966E-01, 3.631230071E-02, 2.141293287E-01, 6.053914316E-03, 6.185286492E-02, 4.960981750E+01, 2.832836304E+02, 4.613613244E-03
      1588,-8.790826797E-01, 3.636739030E-02, 1.056109294E-01, 4.966884851E-03,-4.611906052E+00, 4.885702515E+01, 3.131717224E+02, 5.927735940E-03
      1589,-8.362882137E-01, 3.637059778E-02, 2.148513347E-01, 6.205704529E-03, 7.705587149E-01, 4.933829880E+01, 2.997538452E+02, 4.675323609E-03
      1590,-8.348829746E-01, 3.637970984E-02, 2.305272818E-01, 6.451609544E-03, 8.914735317E-01, 4.927719879E+01, 3.032371216E+02, 4.701835103E-03
      1591, 1.829843819E-01, 3.638348356E-02, 3.952507324E+02, 7.084119797E+00,-1.897410274E+00,-1.897107244E+00,-7.376565552E+02, 2.082443051E-02
      1592,-9.205124974E-01, 3.639615327E-02, 1.665261015E-02, 4.386009183E-03,-8.097536087E+00, 3.827106476E+01, 8.472951660E+02, 1.477763522E-02
      1593,-8.614612222E-01, 3.640242666E-02, 1.705157757E-01, 5.371401552E-03,-1.995560884E+00, 4.977021790E+01, 2.702244263E+02, 4.756221082E-03
      1594,-9.430196285E-01, 3.644045815E-02, 8.778659627E-03, 4.365200177E-03,-1.669116020E+00, 3.509294510E+01, 1.029836792E+03, 2.645985037E-02
      1595,-8.627007604E-01, 3.645174578E-02, 1.692490876E-01, 5.351534579E-03,-2.163204432E+00, 4.975996780E+01, 2.703831177E+02, 4.754274152E-03
      1596,-8.375133276E-01, 3.647705540E-02, 2.293624282E-01, 6.325345486E-03, 6.668837070E-01, 4.939908981E+01, 2.962135620E+02, 4.541262519E-03
      1597,-8.010019064E-01, 3.647854552E-02, 2.251736522E-01, 8.402607404E-03, 3.136348963E+00, 4.697290039E+01, 4.337283325E+02, 6.511399522E-03
      1598,-7.359109521E-01, 3.649014607E-02, 7.491582632E-02, 6.242718548E-03, 4.473227501E+00, 4.044150162E+01, 7.713286133E+02, 1.446032431E-02
      1599,-8.655919433E-01, 3.651956096E-02, 1.656476706E-01, 5.312695634E-03,-2.564393997E+00, 4.969496536E+01, 2.730877686E+02, 4.814583343E-03
      1600,-8.805976510E-01, 3.652836010E-02, 1.052414775E-01, 4.943129607E-03,-4.878120422E+00, 4.873941803E+01, 3.187184753E+02, 5.917625502E-03
      1601,-8.273687959E-01, 3.652905673E-02, 2.529696226E-01, 7.055973634E-03, 1.526775837E+00, 4.890603638E+01, 3.249837341E+02, 4.806451965E-03
      1602, 2.384445220E-01, 3.653315082E-02, 1.803774109E+02, 7.728693962E+00,-1.161543965E+00, 3.606776893E-01,-7.394091187E+02, 5.613812059E-02
      1603,-8.080908656E-01, 3.653356060E-02, 1.731829941E-01, 6.318801083E-03, 2.798750639E+00, 4.754853439E+01, 4.004690247E+02, 5.904641468E-03
      1604,-8.669618368E-01, 3.654411435E-02, 1.602212042E-01, 5.279375240E-03,-2.761565924E+00, 4.965693283E+01, 2.747144165E+02, 4.859972280E-03
      1605,-8.256556392E-01, 3.658432513E-02, 2.949345708E-01, 7.679749280E-03, 1.659053326E+00, 4.880212402E+01, 3.306410217E+02, 4.823947791E-03
      1606, 3.831107914E-01, 3.659056872E-02, 1.691329956E+02, 9.393835068E+00,-3.737634420E-01, 2.320365191E+00,-7.497102661E+02, 5.710406974E-02
      1607,-7.905980349E-01, 3.659541532E-02, 4.910430908E-01, 1.574545167E-02, 3.575676441E+00, 4.604229736E+01, 4.844228516E+02, 7.332554087E-03
      1608,-8.683681488E-01, 3.661389276E-02, 1.598530710E-01, 5.265614484E-03,-2.967206001E+00, 4.961348724E+01, 2.765327759E+02, 4.867903423E-03
      1609,-7.588085532E-01, 3.662037477E-02, 1.046698764E-01, 6.981629878E-03, 4.343453884E+00, 4.286337662E+01, 6.510694580E+02, 1.099926885E-02
